,nameQuad,voltage,subOr,subEx,xOr,yOr,xEx,yEx
720,line_720,225.0,sub_4444,sub_5045,4.0127454959872,48.0341025004414,4.13956493125817,48.352503096566295
721,line_721,90.0,sub_1113,sub_3507,-0.5839113988841059,47.5208101360425,-0.5875419324736469,47.5224456341725
722,line_722,225.0,sub_1533,sub_4211,6.06928067232764,48.869469272405205,6.10098577014786,48.8564939903959
723,line_723,63.0,sub_1533,sub_632,6.06928067232764,48.869469272405205,6.05349083024215,48.893832433115705
724,line_724,225.0,sub_1196,sub_4845,1.90163125482368,47.9357236766965,1.8136845185027501,47.8745569097983
725,line_725,90.0,sub_720,sub_579,-1.07971015617962,46.132034586932704,-1.06938665516018,46.1358200801725
726,line_726,90.0,sub_720,sub_2073,-1.07971015617962,46.132034586932704,-1.1391030079448101,46.150431687413395
727,line_727,90.0,sub_720,sub_2835,-1.07971015617962,46.132034586932704,-0.96458950552025,46.0500557048588
728,line_728,90.0,sub_720,sub_4727,-1.07971015617962,46.132034586932704,-1.07992587635719,46.132647188010594
729,line_729,225.0,sub_2199,sub_2393,4.772665909460629,49.7333597360771,4.78104440610068,49.74436851999539
730,line_730,225.0,sub_3424,sub_942,3.2768543734387796,50.311211931417,3.1468775692645896,50.3556334893535
731,line_731,400.0,sub_4171,sub_5097,-1.99134160754321,43.3250582401116,-2.03376801441441,43.339200375735395
732,line_732,400.0,sub_4171,sub_2752,-1.99134160754321,43.3250582401116,-2.00165690884329,43.320154899813005
733,line_733,400.0,sub_919,sub_1667,3.9257066178648,48.51950697296411,3.92642097215933,48.518330507265205
734,line_734,63.0,sub_1939,sub_597,-0.536161479461901,44.883265983709705,-0.551161479461901,44.8746057296719
735,line_735,63.0,sub_1939,sub_441,-0.536161479461901,44.883265983709705,-0.584050914907214,44.9040361858933
736,line_736,63.0,sub_1939,sub_2427,-0.536161479461901,44.883265983709705,-0.5797280403685411,44.9054673479153
737,line_737,225.0,sub_1883,sub_4100,-0.551161479461901,44.8919262377475,-0.6476884467527121,44.89230338474749
738,line_738,400.0,sub_1883,sub_1613,-0.551161479461901,44.8919262377475,-0.5023251657116911,45.159517630005105
739,line_739,225.0,sub_1939,sub_1883,-0.536161479461901,44.883265983709705,-0.551161479461901,44.8919262377475
740,line_740,225.0,sub_1939,sub_1883,-0.536161479461901,44.883265983709705,-0.551161479461901,44.8919262377475
741,line_741,90.0,sub_4479,sub_2617,-1.7313777063237399,49.6515934906686,-1.60504001472417,49.63153068202949
742,line_742,90.0,sub_4479,sub_4109,-1.7313777063237399,49.6515934906686,-1.73612102729923,49.650663065341604
743,line_743,400.0,sub_3248,sub_3382,1.97469729462127,43.3081310001513,1.9937558485096898,43.3833885392135
744,line_744,63.0,sub_3248,sub_3697,1.97469729462127,43.3081310001513,1.97373877365318,43.309288617255895
745,line_745,63.0,sub_3248,sub_2254,1.97469729462127,43.3081310001513,1.9690112518890899,43.30837286602261
746,line_746,400.0,sub_3248,sub_3382,1.97469729462127,43.3081310001513,1.9937558485096898,43.3833885392135
747,line_747,225.0,sub_4003,sub_4489,2.6476911270821204,44.285762731956204,2.61840305863959,44.3872690866328
748,line_748,400.0,sub_3790,sub_2623,7.93454855985327,45.2323285137221,7.9291365988518,45.2269165527206
749,line_749,400.0,sub_3790,sub_2568,7.93454855985327,45.2323285137221,7.96609178015226,45.2345702213679
750,line_750,400.0,sub_3790,sub_974,7.93454855985327,45.2323285137221,7.938375394176919,45.263089718397
751,line_751,400.0,sub_3790,sub_3347,7.93454855985327,45.2323285137221,7.898375394176919,45.223089718397
752,line_752,400.0,sub_3790,sub_404,7.93454855985327,45.2323285137221,7.89032952807966,45.2369314939682
753,line_753,63.0,sub_2449,sub_2011,2.94997353055112,48.5967128102536,2.93851592084309,48.59834990599379
754,line_754,90.0,sub_346,sub_4889,-0.8228535933284229,47.0659463343009,-0.828012503789679,47.0686396660136
755,line_755,63.0,sub_1651,sub_4020,-0.83376943464604,43.5104208653555,-0.8340374587772671,43.5093147136594
756,line_756,225.0,sub_779,sub_4398,2.73301302298622,50.7311305441976,2.72325442207401,50.65640053435221
757,line_757,90.0,sub_779,sub_1535,2.73301302298622,50.7311305441976,2.73856603091417,50.63932941073521
758,line_758,225.0,sub_9,sub_2857,2.20412661400312,44.432813366051704,2.2382707070416403,44.541018091788
759,line_759,63.0,sub_9,sub_2486,2.20412661400312,44.432813366051704,2.4160389827112203,44.4438829580315
760,line_760,63.0,sub_9,sub_2151,2.20412661400312,44.432813366051704,2.02662389688086,44.3513237749064
761,line_761,63.0,sub_4859,sub_639,2.80719759617659,42.739799902242204,2.78614042309897,42.730141510436795
762,line_762,63.0,sub_4859,sub_1119,2.80719759617659,42.739799902242204,2.65918235244779,42.6546377768618
763,line_763,150.0,sub_4859,sub_1420,2.80719759617659,42.739799902242204,2.8706022863208505,42.6941306905458
764,line_764,63.0,sub_4859,sub_4430,2.80719759617659,42.739799902242204,2.90317925982835,42.799614875676205
765,line_765,63.0,sub_4859,sub_1472,2.80719759617659,42.739799902242204,2.7065485434759102,42.7944792306106
766,line_766,63.0,sub_4859,sub_1119,2.80719759617659,42.739799902242204,2.65918235244779,42.6546377768618
767,line_767,150.0,sub_4859,sub_1420,2.80719759617659,42.739799902242204,2.8706022863208505,42.6941306905458
768,line_768,63.0,sub_4859,sub_4430,2.80719759617659,42.739799902242204,2.90317925982835,42.799614875676205
769,line_769,150.0,sub_4859,sub_1420,2.80719759617659,42.739799902242204,2.8706022863208505,42.6941306905458
770,line_770,400.0,sub_3746,sub_5023,2.80719759617659,42.7197999022422,2.66847006844261,43.239622287368604
771,line_771,400.0,sub_3746,sub_5023,2.80719759617659,42.7197999022422,2.66847006844261,43.239622287368604
772,line_772,400.0,sub_4859,sub_3746,2.80719759617659,42.739799902242204,2.80719759617659,42.7197999022422
773,line_773,400.0,sub_4859,sub_3746,2.80719759617659,42.739799902242204,2.80719759617659,42.7197999022422
774,line_774,400.0,sub_4859,sub_3746,2.80719759617659,42.739799902242204,2.80719759617659,42.7197999022422
775,line_775,225.0,sub_3560,sub_1394,5.7576606689689,45.173762010900205,5.765315474344799,45.155904134135
776,line_776,63.0,sub_3560,sub_4259,5.7576606689689,45.173762010900205,5.753253473448731,45.197475857922704
777,line_777,225.0,sub_3560,sub_1394,5.7576606689689,45.173762010900205,5.765315474344799,45.155904134135
778,line_778,225.0,sub_3999,sub_4710,5.11093010647583,45.8473685841637,5.03140830334454,45.8393814690248
779,line_779,225.0,sub_3999,sub_4710,5.11093010647583,45.8473685841637,5.03140830334454,45.8393814690248
780,line_780,63.0,sub_2733,sub_3647,3.71917352583271,43.4444151029162,3.6187538431177795,43.4645082819918
781,line_781,63.0,sub_2733,sub_4061,3.71917352583271,43.4444151029162,3.8228693237182303,43.5083939236508
782,line_782,63.0,sub_2733,sub_4810,3.71917352583271,43.4444151029162,3.71163505291286,43.428038205316604
783,line_783,63.0,sub_2733,sub_4271,3.71917352583271,43.4444151029162,3.7790333068441497,43.5156804795036
784,line_784,63.0,sub_2733,sub_4810,3.71917352583271,43.4444151029162,3.71163505291286,43.428038205316604
